"geography","estimatedsalary","balance","numofproducts","exited"
"France",101348.88,0,1,TRUE
"Spain",112542.58,83807.86,1,FALSE
"France",113931.57,159660.8,3,TRUE
"France",93826.63,0,2,FALSE
"Spain",79084.1,125510.82,1,FALSE
"Spain",149756.71,113755.78,2,TRUE
"France",10062.8,0,2,FALSE
"Germany",119346.88,115046.74,4,TRUE
"France",74940.5,142051.07,2,FALSE
"France",71725.73,134603.88,1,FALSE
"France",80181.12,102016.72,2,FALSE
"Spain",76390.01,0,2,FALSE
"France",26260.98,0,2,FALSE
"France",190857.79,0,2,FALSE
"Spain",65951.65,0,2,FALSE
"Germany",64327.26,143129.41,2,FALSE
"Germany",5097.67,132602.88,1,TRUE
"Spain",14406.41,0,2,FALSE
"Spain",158684.81,0,1,FALSE
"France",54724.03,0,2,FALSE
"France",170886.17,0,2,FALSE
"Spain",138555.46,0,2,FALSE
"Spain",118913.53,0,1,TRUE
"France",8487.75,0,2,FALSE
"France",187616.16,0,1,FALSE
"France",124508.29,0,2,FALSE
"Germany",170041.95,136815.64,1,FALSE
"France",38433.35,0,2,FALSE
"Germany",100187.43,141349.43,1,FALSE
"France",53483.21,59697.17,2,FALSE
"Spain",140469.38,0,3,TRUE
"France",156731.91,85311.7,1,FALSE
"Germany",81898.81,110112.54,2,FALSE
"Spain",34410.55,0,2,FALSE
"Spain",142033.07,0,2,FALSE
"France",27822.99,134264.04,1,TRUE
"Spain",114066.77,145260.23,1,FALSE
"Spain",98453.45,76548.6,1,FALSE
"France",40812.9,0,1,FALSE
"Germany",178074.04,70349.48,2,FALSE
"Spain",70154.22,0,1,FALSE
"France",181297.65,122522.32,1,TRUE
"France",94153.83,117419.35,1,FALSE
"France",194365.76,131394.56,1,TRUE
"Spain",158338.39,155931.11,1,FALSE
"Germany",126517.46,109421.13,2,FALSE
"Germany",119708.21,112045.67,1,TRUE
"Germany",117622.8,137843.8,1,TRUE
"Germany",90878.13,103391.38,1,FALSE
"Germany",194099.12,103769.22,2,FALSE
"Germany",198059.16,116363.37,2,FALSE
"Germany",86424.57,146050.97,2,FALSE
"France",116978.19,0,2,FALSE
"Germany",164040.94,125561.97,1,TRUE
"Germany",40014.76,98495.72,1,TRUE
"France",113410.49,125211.92,1,FALSE
"France",87107.57,127864.4,1,FALSE
"Germany",45613.75,75888.2,1,FALSE
"Spain",1643.11,0,1,TRUE
"France",46775.28,40685.92,1,FALSE
"Germany",84509.57,136857,1,FALSE
"Germany",126494.82,152328.88,2,FALSE
"Spain",178798.13,56084.69,2,FALSE
"Spain",99398.36,78707.16,1,FALSE
"Germany",92840.67,109166.37,1,FALSE
"Germany",27758.36,169831.46,2,FALSE
"Germany",110431.51,101633.04,1,FALSE
"Germany",196673.28,123180.01,2,FALSE
"Germany",113656.85,150725.53,2,FALSE
"France",18203,98373.26,1,FALSE
"Germany",28373.86,133745.44,4,TRUE
"France",33953.87,0,1,FALSE
"Spain",44203.55,163607.18,1,FALSE
"Germany",58426.81,157780.84,2,FALSE
"France",145562.4,0,2,FALSE
"France",22388,178718.19,2,FALSE
"France",139161.64,0,2,FALSE
"France",148210.64,0,1,FALSE
"Spain",194239.63,77253.22,1,FALSE
"Germany",98301.61,122189.66,2,FALSE
"France",171413.66,96645.54,2,FALSE
"France",136458.19,0,1,TRUE
"France",26019.59,0,2,FALSE
"France",159235.29,90307.62,1,FALSE
"France",1907.66,0,2,FALSE
"Spain",114675.75,0,2,FALSE
"Spain",128643.35,121681.82,1,TRUE
"France",151869.35,0,2,FALSE
"France",93251.42,0,3,TRUE
"Germany",156791.36,81623.67,2,FALSE
"Spain",174205.22,0,3,TRUE
"France",147132.46,118626.55,2,FALSE
"France",109614.57,0,2,FALSE
"France",172290.61,0,2,FALSE
"Spain",85982.47,0,2,FALSE
"Spain",121277.78,176273.95,1,FALSE
"Spain",64595.25,102827.44,1,FALSE
"Germany",197276.13,97086.4,2,FALSE
"Spain",99645.04,0,2,FALSE
"France",6534.18,0,2,FALSE
"France",161848.03,0,1,FALSE
"France",167162.43,0,2,FALSE
"France",41970.72,82674.15,1,FALSE
"Spain",60536.56,0,2,FALSE
"Spain",177655.68,0,1,TRUE
"Spain",30984.59,107073.27,2,TRUE
"Germany",10054.53,88938.62,1,FALSE
"Germany",36976.52,99806.85,1,FALSE
"Spain",71862.79,150092.8,1,FALSE
"Germany",99449.86,92833.89,1,TRUE
"Germany",63082.88,90536.81,1,FALSE
"Germany",27231.26,108055.1,2,FALSE
"France",86797.41,100238.35,1,FALSE
"Spain",22994.32,106190.55,1,FALSE
"Germany",101300.94,154475.54,2,TRUE
"Germany",74169.13,132351.29,2,FALSE
"Germany",115638.29,167864.4,1,FALSE
"France",31766.3,0,2,FALSE
"Germany",199725.39,107818.63,1,TRUE
"Germany",120834.48,185173.81,2,FALSE
"France",38131.77,129433.34,2,FALSE
"Spain",100130.95,120193.42,1,FALSE
"France",141069.88,0,2,FALSE
"Germany",198129.36,126384.42,1,FALSE
"France",183646.41,0,1,FALSE
"France",110265.24,152603.45,1,TRUE
"France",8636.05,0,1,TRUE
"Germany",46824.08,148507.24,1,TRUE
"France",171378.77,0,2,FALSE
"France",167256.35,101827.07,1,FALSE
"France",124226.16,0,2,FALSE
"Germany",114935.21,130862.43,1,FALSE
"France",35608.88,122570.87,1,FALSE
"France",16459.37,0,2,FALSE
"Germany",124411.08,124828.46,2,FALSE
"Germany",34941.23,144895.05,2,FALSE
"Germany",167784.28,63663.93,1,FALSE
"France",93165.34,133463.1,1,FALSE
"Spain",75161.25,213146.2,1,TRUE
"Spain",8590.83,129490.36,2,TRUE
"Germany",189543.9,137452.09,1,FALSE
"France",180427.24,0,2,FALSE
"France",193318.33,125851.93,1,FALSE
"Spain",159123.82,0,1,TRUE
"France",126213.84,40915.55,1,TRUE
"Spain",54141.5,113157.22,1,FALSE
"Spain",141075.51,138296.94,2,FALSE
"France",24495.03,106967.18,1,FALSE
"France",74836.34,120681.63,1,FALSE
"France",878.87,0,2,FALSE
"Spain",89520.75,0,2,FALSE
"France",149892.79,0,1,TRUE
"Spain",180800.42,0,2,FALSE
"France",98646.22,127609.59,1,FALSE
"France",109041.53,0,2,FALSE
"Spain",17941.16,0,1,TRUE
"France",82996.47,0,2,FALSE
"Spain",92067.35,0,2,FALSE
"France",104719.66,97259.25,1,FALSE
"Germany",112687.57,123246.7,1,FALSE
"Spain",84699.56,101060.25,1,FALSE
"France",83473.82,0,2,FALSE
"France",47125.11,108007.36,1,FALSE
"Spain",106977.8,0,2,FALSE
"Spain",55582.54,133702.89,1,TRUE
"Germany",139874.43,125189.75,2,FALSE
"Germany",162503.48,113034.22,1,TRUE
"Spain",196499.96,109013.23,1,FALSE
"Spain",40721.24,0,2,TRUE
"Germany",53134.3,57929.81,2,FALSE
"France",164017.89,130114.39,1,FALSE
"Germany",155996.96,95826.49,2,FALSE
"Germany",5472.7,129608.57,1,TRUE
"France",112187.11,169462.09,1,FALSE
"France",146457.83,0,2,FALSE
"Spain",27286.1,133868.21,1,FALSE
"France",130553.47,0,2,FALSE
"Germany",179351.89,190479.48,2,FALSE
"Spain",94774.12,101993.12,1,FALSE
"Germany",8080.85,161608.81,1,TRUE
"Spain",19482.5,122311.21,1,FALSE
"France",48071.61,0,2,FALSE
"Germany",174531.27,162150.42,2,FALSE
"France",55470.78,0,2,FALSE
"France",8546.87,0,1,TRUE
"France",95857.18,0,2,FALSE
"France",194945.8,99010.67,1,FALSE
"Spain",131521.72,0,1,FALSE
"Spain",196108.51,0,2,FALSE
"Germany",148564.76,111388.18,2,FALSE
"France",92982.61,56214.85,2,TRUE
"France",17675.36,84327.77,2,FALSE
"France",114996.43,0,2,FALSE
"France",86957.42,93012.89,1,FALSE
"Spain",128077.8,61710.44,2,FALSE
"France",600.36,174790.15,1,FALSE
"Spain",43001.46,0,2,FALSE
"Germany",158591.12,107720.64,1,FALSE
"France",47847.19,0,2,FALSE
"France",10488.44,96423.84,1,FALSE
"Spain",5978.2,141040.01,1,FALSE
"France",121409.06,105420.18,1,FALSE
"Spain",146145.93,0,1,TRUE
"France",14374.86,129022.06,2,TRUE
"Spain",94670.77,176666.62,1,FALSE
"France",179670.31,0,1,FALSE
"Spain",199304.74,89763.84,1,TRUE
"France",151954.39,134954.53,1,FALSE
"France",142513.5,0,1,TRUE
"France",158264.62,106376.85,1,FALSE
"Germany",169381.9,161814.64,2,FALSE
"France",169915.02,0,2,FALSE
"France",88852.47,0,2,FALSE
"France",40645.81,63095.01,1,FALSE
"Germany",60427.3,118287.01,2,FALSE
"Germany",157959.02,106854.21,1,TRUE
"France",133007.34,49512.55,1,FALSE
"Spain",176576.62,0,2,FALSE
"France",34888.04,105799.32,2,TRUE
"France",28737.71,0,1,TRUE
"France",98178.57,114722.05,2,FALSE
"Spain",125010.24,0,1,FALSE
"France",167984.61,0,2,FALSE
"France",4861.72,0,1,TRUE
"Germany",108872.45,99564.22,1,TRUE
"France",198252.88,170557.91,2,FALSE
"France",26960.31,0,2,FALSE
"Germany",85746.52,74596.15,3,TRUE
"Germany",77206.25,96888.39,1,TRUE
"Germany",61048.53,130830.22,1,FALSE
"France",111981.19,0,2,FALSE
"France",62232.6,0,2,FALSE
"France",156105.03,0,2,FALSE
"Germany",150135.38,119714.25,2,FALSE
"France",93146.11,113978.97,2,FALSE
"Germany",33462.94,100160.75,1,TRUE
"France",144375,0,1,FALSE
"Germany",55803.96,116220.5,3,TRUE
"France",89048.46,0,3,TRUE
"France",162812.16,81173.83,2,FALSE
"Spain",136259.65,0,2,FALSE
"Germany",124052.97,116803.8,1,FALSE
"France",74158.8,105961.68,2,FALSE
"Germany",45071.09,117411.6,1,TRUE
"Spain",62030.06,0,2,FALSE
"France",131953.23,123497.58,1,TRUE
"Germany",79414,152400.51,2,FALSE
"France",199638.56,0,2,FALSE
"Germany",157577.29,103097.85,1,FALSE
"Germany",134420.75,126418.14,1,TRUE
"Germany",99805.99,77846.9,1,FALSE
"Spain",97932.68,0,2,FALSE
"France",170968.99,0,2,FALSE
"Germany",57558.95,79731.91,1,FALSE
"Spain",176713.47,0,1,FALSE
"Spain",34283.23,0,2,FALSE
"France",198637.34,0,2,FALSE
"Germany",156917.12,37266.67,2,FALSE
"France",50457.2,127992.25,1,FALSE
"Germany",140075.55,54901.01,1,FALSE
"Germany",65323.11,108748.08,2,FALSE
"Spain",64323.24,99906.19,1,FALSE
"France",14956.44,184686.41,2,FALSE
"France",111879.21,110654.02,1,FALSE
"Spain",18606.23,79019.8,1,FALSE
"Spain",123137.01,99240.51,1,FALSE
"France",148528.24,0,2,FALSE
"France",13898.31,0,2,FALSE
"Spain",81259.25,0,1,TRUE
"Germany",161051.75,52436.2,1,FALSE
"Spain",191599.67,0,2,FALSE
"Germany",48559.19,100337.96,3,TRUE
"Germany",186339.74,149297.19,2,FALSE
"France",33159.37,0,2,FALSE
"Germany",93883.53,145605.44,1,FALSE
"Spain",110899.3,0,2,FALSE
"France",11199.04,0,1,TRUE
"France",189992.97,0,2,FALSE
"France",164255.69,84026.86,1,FALSE
"France",152167.79,0,1,TRUE
"France",33949.67,0,2,FALSE
"Spain",68143.93,0,2,FALSE
"Germany",47251.79,138718.92,1,TRUE
"France",25885.72,118274.71,1,FALSE
"France",192633.85,174185.98,2,FALSE
"France",34577.36,113208.86,2,FALSE
"Spain",161229.84,103907.28,1,FALSE
"France",100816.29,119023.28,1,FALSE
"Spain",181694.44,166297.89,1,FALSE
